pCL_name (or CL_name),transcriptome data cluster,TDC_id,pCL_id (or CL_id),definition,part_of (uberon_id),Species_source,Species_ID,part_of (uberon_name),is_a (CL or pCL_id)_parent_ID,is_a (CL or pCL_name)_parent_name,cluster_size (number of cells),f-measure_evidence,marker_gene_evidence,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,neuron_type
Inh LAMP5 TRPC6,Inh LAMP5 TRPC6,Bakken301,pCL405,"is a LAMP5 marmoset primary motor cortex GABAergic interneuron that selectively expresses TACR1, and TRPC6 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL113,LAMP5 expressing GABAergic neuron,280,0.780456853,2,TACR1,TRPC6,,,,GAD
Inh LAMP5 WWP1,Inh LAMP5 WWP1,Bakken302,pCL406,"is a LAMP5 marmoset primary motor cortex GABAergic interneuron that selectively expresses KIT, and NTNG1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL113,LAMP5 expressing GABAergic neuron,276,0.550947867,2,KIT,NTNG1,,,,GAD
Inh PAX6 ANKRD6,Inh PAX6 ANKRD6,Bakken303,pCL407,"is a SNCG marmoset primary motor cortex GABAergic interneuron that selectively expresses FBN2, and GPRIN3, and SPACA1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL115,SNCG expressing GABAergic neuron,63,0.381679389,3,FBN2,GPRIN3,SPACA1,,,GAD
Inh PAX6 CDH4,Inh PAX6 CDH4,Bakken304,pCL408,"is a SNCG marmoset primary motor cortex GABAergic interneuron that selectively expresses ARHGAP6, and CDH4, and THSD7B mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL115,SNCG expressing GABAergic neuron,61,0.700636943,3,ARHGAP6,CDH4,THSD7B,,,GAD
Inh PAX6 HMBOX1,Inh PAX6 HMBOX1,Bakken305,pCL409,"is a LAMP5 marmoset primary motor cortex GABAergic interneuron that selectively expresses RELN, and SORCS3 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL113,LAMP5 expressing GABAergic neuron,229,0.80141844,2,RELN,SORCS3,,,,GAD
Inh PAX6 MEIS2,Inh PAX6 MEIS2,Bakken306,pCL410,is a Meis2 marmoset primary motor cortex GABAergic interneuron that selectively expresses PBX3  mRNAs,UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL364,Meis2 expressing glutamatergic neuron,20,0.723684211,1,PBX3,,,,,GAD
Inh PVALB ADAMTS3,Inh PVALB ADAMTS3,Bakken307,pCL411,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses KCNK13, and SYT10, and TMEM132C mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,490,0.588455772,3,KCNK13,SYT10,TMEM132C,,,GAD
Inh PVALB C8H7orf62,Inh PVALB C8H7orf62,Bakken308,pCL412,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses CHST9, and LRRC38, and SULF1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,265,0.53593947,3,CHST9,LRRC38,SULF1,,,GAD
Inh PVALB FAM19A4,Inh PVALB FAM19A4,Bakken309,pCL413,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses FAM19A1, and POSTN mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,772,0.752704327,2,FAM19A1,POSTN,,,,GAD
Inh PVALB GSTK1,Inh PVALB GSTK1,Bakken310,pCL414,"is a PVALB marmoset primary motor cortex GABAergic interneuron that selectively expresses EYS, and MYO5B, and POSTN, and SULF1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL114,PVALB expressing GABAergic neuron,113,0.331564987,4,EYS,MYO5B,POSTN,SULF1,,GAD
