,GAD_1,GAD_2,GAD_3,GAD_4,GAD_5,GAD_6,GAD_7,GAD_8,GAD_9,GAD_10,GAD_11,GAD_12
TAC1,0.15106485784053802,0.11484628170728683,0.11159911751747131,0.3736122250556946,0.05861547961831093,0.6121188998222351,0.47648727893829346,1.2544056177139282,0.15326528251171112,3.337709426879883,1.032902717590332,0.4207562804222107
NPY,0.0335347019135952,0.06220504641532898,0.08014645427465439,0.07349776476621628,0.06443308293819427,0.1863643079996109,0.15401603281497955,0.02933799847960472,0.04390149936079979,5.94096565246582,0.48811444640159607,0.49293556809425354
COL19A1,0.3259914517402649,0.5007961392402649,2.9307925701141357,0.7127081751823425,0.2662825584411621,0.6045712828636169,1.9009236097335815,1.5416114330291748,0.5912654399871826,2.104210376739502,3.493734359741211,1.0822772979736328
KCTD8,0.18628756701946259,0.19830341637134552,0.5104652643203735,1.0354470014572144,3.68817400932312,3.0305612087249756,2.191465139389038,3.4555253982543945,2.5140912532806396,1.1652976274490356,2.8979177474975586,2.638564348220825
NCKAP5,0.7648531198501587,1.1055773496627808,1.7878037691116333,1.9831453561782837,0.2632617652416229,0.11436604708433151,1.1408382654190063,0.31289786100387573,0.18190142512321472,0.8211422562599182,1.6742342710494995,2.0194365978240967
UNC13C,3.2035343647003174,3.635050058364868,1.2593110799789429,0.5636515617370605,3.940537929534912,0.35681676864624023,1.7505714893341064,0.3375800848007202,0.39125242829322815,0.987019956111908,2.901232957839966,0.6881750822067261
ANKRD55,0.11304254829883575,0.095543272793293,0.83196622133255,0.49941307306289673,0.03325289115309715,0.034840770065784454,0.5529171228408813,0.5444897413253784,0.04545264691114426,0.79831463098526,1.7508031129837036,0.10029609501361847
MAN1A1,0.2221023589372635,0.5416284203529358,1.0476281642913818,1.0088999271392822,1.8282722234725952,1.9672081470489502,1.3896543979644775,0.2456969916820526,0.3431830108165741,1.4988107681274414,2.7703115940093994,1.26181161403656
EGFR,3.6117773056030273,2.1694469451904297,2.741656541824341,1.7411906719207764,2.059324026107788,0.09001196175813675,0.9103869199752808,0.3452598452568054,0.29744964838027954,0.1240711510181427,0.2915889620780945,0.09717562049627304
FREM1,1.3904999494552612,0.4355001151561737,0.37403732538223267,0.09779481589794159,0.18632806837558746,0.027311136946082115,0.22888381779193878,0.019347427412867546,0.060848068445920944,0.029389962553977966,0.2782449424266815,0.6807722449302673
