,id,Age,Sex,Weight,wm,vh,etiv,gm
275,441,3.79,1,324,1.026083,0.508572,9.672,1.733409719281162
276,19,3.81,1,449,1.178364,0.501041,7.732,2.3598098332159627
277,195,3.82,1,462,1.064443,0.507383,8.197,2.3565519546287144
278,192,3.83,1,354,0.567574,0.253824,8.05,1.7220863576299248
279,20,3.88,1,381,0.692146,0.358064,8.002,1.8635004085889233
280,199,3.89,0,302,0.993675,0.494559,9.607,1.687501965966457
281,75,3.91,0,361,0.911648,0.437434,7.124,1.8955564405797016
282,41,3.93,1,423,0.740161,0.321521,8.344,2.083164268492548
283,302,3.93,1,338,0.803902,0.396531,8.115,1.7872566552501894
284,280,3.94,1,328,1.557352,0.787995,8.755,1.9416911937597483
285,301,3.94,0,460,2.37115,0.889433,7.288,2.863831828758189
286,250,3.95,0,397,1.300074,0.539421,8.318,2.140896123521262
287,141,3.98,0,321,0.682462,0.278248,8.484,1.645607842031216
288,281,3.98,0,278,0.840414,0.529138,8.442,1.4792310420083574
289,23,3.98,0,420,0.603955,0.288627,7.401,1.99994784301688
290,129,3.98,0,276,0.649247,0.324786,7.753,1.4098712773878082
291,261,3.99,0,440,1.86324,0.792405,8.245,2.441127889809505
292,171,3.99,0,436,1.491807,0.63931,8.683,2.443116385387798
293,442,4.0,1,325,1.738553,0.873273,8.876,1.9354501963881063
294,252,4.01,0,420,1.294109,0.486688,7.907,2.2645017174784297
295,25,4.02,0,363,0.791893,0.351769,7.385,1.8578984383542323
296,113,4.04,0,363,1.06302,0.503731,9.489,1.9629870542692895
297,18,4.05,0,282,0.523802,0.302936,8.715,1.3933782926815852
298,246,4.05,0,315,0.814755,0.506618,8.329,1.6321680619584278
299,251,4.05,0,315,0.662409,0.375956,8.028,1.5875883200019023
300,106,4.07,0,462,0.636248,0.316857,8.347,2.2200998547717834
301,190,4.07,1,400,0.614821,0.286589,8.201,1.9388247422782712
302,260,4.08,1,340,0.956919,0.561385,8.031,1.7823120518872109
303,269,4.1,1,365,1.021431,0.517065,7.858,1.9424274582432244
304,254,4.13,0,447,1.484977,0.640169,8.016,2.510828395170669
305,33,4.18,0,375,0.923243,0.416737,8.183,1.9575750983434412
306,266,4.22,0,480,1.433278,0.527194,7.427,2.5303889678032596
307,244,4.28,0,349,1.235987,0.655071,7.915,1.9609891023552444
308,265,4.32,0,325,1.522448,0.679956,8.751,1.8978368616365224
309,85,4.33,1,503,0.655047,0.326719,7.825,2.409892514675927
310,439,4.35,0,273,0.638095,0.349073,8.164,1.4143658539369566
311,275,4.39,1,352,1.10291,0.557516,8.088,1.8777678884243407
312,447,4.42,0,301,1.214551,0.584247,7.941,1.700345860310691
313,62,4.49,0,385,0.754157,0.348452,7.885,1.9297105679011188
314,253,4.6,1,356,1.129,0.505189,7.819,1.9499909555734216
315,95,4.61,0,360,1.166718,0.521495,8.466,1.9827371494614792
316,286,4.62,1,318,0.874886,0.567492,8.749,1.6848053605259528
317,179,4.62,0,265,0.620124,0.292375,9.56,1.3677230934897804
318,241,4.63,0,281,0.693723,0.400373,8.307,1.452798563351145
319,272,4.65,0,345,0.739621,0.408649,7.577,1.725861468454048
320,242,4.68,0,344,0.796938,0.532422,8.113,1.761119523119065
321,27,4.75,0,422,0.978268,0.409675,8.836,2.2221689414329115
322,94,4.76,0,314,0.940616,0.409637,8.186,1.6907411519014646
323,73,4.78,0,368,0.939016,0.420509,9.056,1.958246270040268
324,237,4.79,0,332,1.040074,0.612226,8.336,1.7838572304147444
325,259,4.84,1,342,1.770397,0.781488,7.685,2.0658520152314988
326,258,4.85,1,378,1.631184,0.728759,9.2,2.186157196985471
327,262,4.91,1,409,1.93701,0.790311,8.603,2.444385461573298
328,99,4.94,1,360,0.922244,0.393768,8.5,1.9290008258676303
329,76,4.96,0,405,1.256408,0.518916,7.638,2.197438629459647
330,87,5.04,0,336,0.384796,0.185451,8.634,1.606209843865474
331,53,5.07,0,334,0.56061,0.34665,8.291,1.6242062449840702
332,245,5.1,1,302,1.29855,0.516399,8.13,1.805874436887951
333,230,5.13,1,412,1.043439,0.506725,7.892,2.1357590299151603
334,46,5.13,0,460,0.826646,0.377858,6.747,2.256624714771225
335,201,5.15,1,346,1.099525,0.470628,8.595,1.9033145414006527
336,52,5.17,0,428,0.829065,0.341477,7.693,2.1359534491941883
337,247,5.21,1,458,1.180062,0.495088,7.641,2.383693711830946
338,51,5.23,0,336,0.715914,0.372309,8.413,1.6861708589652549
339,248,5.41,1,301,1.021937,0.408662,8.07,1.683838877568783
340,186,5.41,0,403,0.618907,0.267546,8.573,1.973144968058709
341,40,5.42,0,494,1.289563,0.538414,7.623,2.5518723659390967
342,21,5.42,0,370,0.538177,0.223592,8.504,1.799260336614986
343,54,5.48,1,477,0.648,0.268647,8.111,2.264113694495924
344,255,5.49,1,325,1.659861,0.887399,8.824,2.079554239102134
345,140,5.5,0,238,0.293495,0.152919,8.678,1.1291329178247504
346,452,5.52,0,323,1.682716,0.915458,8.457,1.952106547588187
347,257,5.53,0,448,2.163553,0.693627,8.704,2.7167923413325603
348,32,5.62,0,363,1.299655,0.663049,9.131,2.0440614947992457
349,282,5.75,1,263,1.124331,0.568506,7.237,1.556206925815895
350,164,5.8,0,334,0.718634,0.325928,8.248,1.731110653676349
351,243,5.85,1,335,1.398416,0.779397,8.196,1.9262797555883209
352,448,5.85,0,361,1.726302,0.604953,8.256,2.314221710410372
353,122,5.87,0,453,0.948195,0.410507,8.477,2.2966730202133485
354,206,5.89,0,328,0.959966,0.381484,8.271,1.733547906572873
355,240,5.91,0,342,0.810874,0.334034,7.4,1.7329520549001116
356,17,5.94,1,302,1.02809,0.465378,8.912,1.6669921384263806
357,24,5.96,1,329,0.787988,0.404545,8.53,1.6970686258201484
358,71,6.04,0,403,0.640963,0.277377,7.463,1.9873414333960095
359,271,6.05,0,300,0.67679,0.38243,7.868,1.5306666765903745
360,56,6.07,1,375,0.680621,0.297094,7.895,1.884187913996729
361,236,6.14,1,321,1.362708,0.712194,8.88,1.8822024560893076
362,238,6.15,0,454,2.177957,0.877896,8.096,2.615771894245266
363,139,6.17,0,330,0.649914,0.283924,8.052,1.6720269410290465
364,239,6.19,1,332,0.72114,0.246153,8.77,1.7193858735401408
365,226,6.25,1,350,1.350676,0.58792,7.005,1.971447721337246
366,61,6.28,0,304,0.564697,0.239569,7.431,1.5346014123938072
367,55,6.3,1,326,0.5924,0.283468,7.713,1.6326132890132972
368,68,6.3,0,364,0.53223,0.247666,8.022,1.7803629587787737
369,205,6.43,0,326,1.014026,0.494606,8.903,1.750966108852704
370,134,6.45,0,313,0.95619,0.438467,8.202,1.6761186493889657
371,135,6.46,0,325,0.908086,0.44227,8.956,1.7811360294751726
372,204,6.56,0,369,1.095637,0.499951,7.484,1.95204400112181
373,216,6.57,0,305,1.035963,0.485373,7.854,1.6402997423632664
374,58,6.73,0,369,0.618696,0.247651,8.103,1.8460080673211177
375,227,6.75,1,341,1.141624,0.56571,7.905,1.799307180626108
376,155,6.84,0,380,0.731008,0.315803,8.105,1.9546446644381237
377,67,6.92,0,379,0.752678,0.329932,7.867,1.9495217966445384
378,142,6.95,1,352,0.639099,0.331807,8.282,1.7605672263303471
379,105,6.99,0,400,0.669971,0.290252,8.329,2.014739330226324
380,177,7.02,0,244,0.986562,0.387477,7.561,1.3853310502395142
381,178,7.02,0,290,0.681124,0.30092,8.56,1.5368323231937848
382,77,7.04,1,331,1.032765,0.473065,7.983,1.7982247125415118
383,127,7.07,0,401,0.803544,0.32657,8.771,2.0720267149701916
384,249,7.09,0,362,1.544385,0.946657,9.061,2.1253756959268384
385,445,7.16,0,320,2.21069,0.990966,9.596,2.1512405989203427
